rep_date,ws,wg,wdir
2025-10-15 00:00:00,25.6,,152
2025-10-15 01:00:00,,,
2025-10-15 02:00:00,,,
2025-10-15 03:00:00,38.5,,180
2025-10-15 04:00:00,,,
2025-10-15 05:00:00,,,
2025-10-15 06:00:00,22.0,,185
2025-10-15 07:00:00,,,
2025-10-15 08:00:00,,,
2025-10-15 09:00:00,9.4,,345
2025-10-15 10:00:00,,,
2025-10-15 11:00:00,,,
2025-10-15 12:00:00,4.7,,269
2025-10-15 13:00:00,,,
2025-10-15 14:00:00,,,
2025-10-15 15:00:00,7.9,,244
2025-10-15 16:00:00,,,
2025-10-15 17:00:00,,,
2025-10-15 18:00:00,10.8,,173
2025-10-15 19:00:00,,,
2025-10-15 20:00:00,,,
2025-10-15 21:00:00,16.2,,136
2025-10-15 22:00:00,,,
2025-10-15 23:00:00,,,
2025-10-16 00:00:00,20.2,,153
2025-10-16 01:00:00,,,
2025-10-16 02:00:00,,,
2025-10-16 03:00:00,15.5,,153
2025-10-16 04:00:00,,,
2025-10-16 05:00:00,,,
2025-10-16 06:00:00,39.6,,151
2025-10-16 07:00:00,,,
2025-10-16 08:00:00,,,
2025-10-16 09:00:00,34.9,,171
2025-10-16 10:00:00,,,
2025-10-16 11:00:00,,,
2025-10-16 12:00:00,34.9,,165
2025-10-16 13:00:00,,,
2025-10-16 14:00:00,,,
2025-10-16 15:00:00,25.2,,168
2025-10-16 16:00:00,,,
2025-10-16 17:00:00,,,
2025-10-16 18:00:00,23.0,,146
2025-10-16 19:00:00,,,
2025-10-16 20:00:00,,,
2025-10-16 21:00:00,23.4,,144
2025-10-16 22:00:00,,,
2025-10-16 23:00:00,,,
2025-10-17 00:00:00,27.7,,165
2025-10-17 01:00:00,,,
2025-10-17 02:00:00,,,
2025-10-17 03:00:00,27.0,,159
2025-10-17 04:00:00,,,
2025-10-17 05:00:00,,,
2025-10-17 06:00:00,16.2,,149
2025-10-17 07:00:00,,,
2025-10-17 08:00:00,,,
2025-10-17 09:00:00,14.0,,144
2025-10-17 10:00:00,,,
2025-10-17 11:00:00,,,
2025-10-17 12:00:00,22.7,,161
2025-10-17 13:00:00,,,
2025-10-17 14:00:00,,,
2025-10-17 15:00:00,6.5,,240
2025-10-17 16:00:00,,,
2025-10-17 17:00:00,,,
2025-10-17 18:00:00,14.0,,174
2025-10-17 19:00:00,,,
2025-10-17 20:00:00,,,
2025-10-17 21:00:00,11.2,,165
2025-10-17 22:00:00,,,
2025-10-17 23:00:00,,,
2025-10-18 00:00:00,13.3,,171
2025-10-18 01:00:00,,,
2025-10-18 02:00:00,,,
2025-10-18 03:00:00,17.6,,167
2025-10-18 04:00:00,,,
2025-10-18 05:00:00,,,
2025-10-18 06:00:00,18.7,,171
2025-10-18 07:00:00,,,
2025-10-18 08:00:00,,,
2025-10-18 09:00:00,15.8,,159
2025-10-18 10:00:00,,,
2025-10-18 11:00:00,,,
2025-10-18 12:00:00,20.5,,166
2025-10-18 13:00:00,,,
2025-10-18 14:00:00,,,
2025-10-18 15:00:00,11.9,,201
2025-10-18 16:00:00,,,
2025-10-18 17:00:00,,,
2025-10-18 18:00:00,2.2,,0
2025-10-18 19:00:00,,,
2025-10-18 20:00:00,,,
2025-10-18 21:00:00,11.9,,346
2025-10-18 22:00:00,,,
2025-10-18 23:00:00,,,
2025-10-19 00:00:00,10.8,,348
2025-10-19 01:00:00,,,
2025-10-19 02:00:00,,,
2025-10-19 03:00:00,11.2,,353
2025-10-19 04:00:00,,,
2025-10-19 05:00:00,,,
2025-10-19 06:00:00,11.2,,2
2025-10-19 07:00:00,,,
2025-10-19 08:00:00,,,
2025-10-19 09:00:00,9.7,,356
2025-10-19 10:00:00,,,
2025-10-19 11:00:00,,,
2025-10-19 12:00:00,5.4,,351
2025-10-19 13:00:00,,,
2025-10-19 14:00:00,,,
2025-10-19 15:00:00,8.3,,336
2025-10-19 16:00:00,,,
2025-10-19 17:00:00,,,
2025-10-19 18:00:00,7.6,,328
2025-10-19 19:00:00,,,
2025-10-19 20:00:00,,,
2025-10-19 21:00:00,4.3,,17
2025-10-19 22:00:00,,,
2025-10-19 23:00:00,,,
2025-10-20 00:00:00,5.0,,203
2025-10-20 01:00:00,,,
2025-10-20 02:00:00,,,
2025-10-20 03:00:00,21.6,,172
2025-10-20 04:00:00,,,
2025-10-20 05:00:00,,,
2025-10-20 06:00:00,24.1,,158
2025-10-20 07:00:00,,,
2025-10-20 08:00:00,,,
2025-10-20 09:00:00,26.3,,158
2025-10-20 10:00:00,,,
2025-10-20 11:00:00,,,
2025-10-20 12:00:00,21.2,,164
2025-10-20 13:00:00,,,
2025-10-20 14:00:00,,,
2025-10-20 15:00:00,15.1,,174
2025-10-20 16:00:00,,,
2025-10-20 17:00:00,,,
2025-10-20 18:00:00,4.0,,233
2025-10-20 19:00:00,,,
2025-10-20 20:00:00,,,
2025-10-20 21:00:00,8.6,,138
2025-10-20 22:00:00,,,
2025-10-20 23:00:00,,,
2025-10-21 00:00:00,2.5,,0
2025-10-21 01:00:00,,,
2025-10-21 02:00:00,,,
2025-10-21 03:00:00,2.9,,324
2025-10-21 04:00:00,,,
2025-10-21 05:00:00,,,
2025-10-21 06:00:00,4.3,,359
2025-10-21 07:00:00,,,
2025-10-21 08:00:00,,,
2025-10-21 09:00:00,2.9,,292
2025-10-21 10:00:00,,,
2025-10-21 11:00:00,,,
2025-10-21 12:00:00,0.4,,0
2025-10-21 13:00:00,,,
2025-10-21 14:00:00,,,
2025-10-21 15:00:00,2.5,,0
2025-10-21 16:00:00,,,
2025-10-21 17:00:00,,,
2025-10-21 18:00:00,15.5,,162
2025-10-21 19:00:00,,,
2025-10-21 20:00:00,,,
2025-10-21 21:00:00,23.0,,158
2025-10-21 22:00:00,,,
2025-10-21 23:00:00,,,
2025-10-22 00:00:00,19.1,,151
2025-10-22 01:00:00,,,
2025-10-22 02:00:00,,,
2025-10-22 03:00:00,18.0,,170
2025-10-22 04:00:00,,,
2025-10-22 05:00:00,,,
2025-10-22 06:00:00,17.6,,166
2025-10-22 07:00:00,,,
2025-10-22 08:00:00,,,
2025-10-22 09:00:00,13.3,,160
2025-10-22 10:00:00,,,
2025-10-22 11:00:00,,,
2025-10-22 12:00:00,25.9,,172
2025-10-22 13:00:00,,,
2025-10-22 14:00:00,,,
2025-10-22 15:00:00,28.1,,164
2025-10-22 16:00:00,,,
2025-10-22 17:00:00,,,
2025-10-22 18:00:00,28.4,,156
2025-10-22 19:00:00,,,
2025-10-22 20:00:00,,,
2025-10-22 21:00:00,22.0,,159
2025-10-22 22:00:00,,,
2025-10-22 23:00:00,,,
