rep_date,ws,wg,wdir
2025-06-16 00:00:00,15.0,22.8,328
2025-06-16 01:00:00,9.9,15.6,28
2025-06-16 02:00:00,9.0,18.6,19
2025-06-16 03:00:00,10.3,16.5,22
2025-06-16 04:00:00,3.0,6.6,20
2025-06-16 05:00:00,8.8,15.1,42
2025-06-16 06:00:00,10.7,16.7,63
2025-06-16 07:00:00,8.6,14.7,53
2025-06-16 08:00:00,3.6,6.8,40
2025-06-16 09:00:00,6.2,13.5,30
2025-06-16 10:00:00,6.0,11.9,45
2025-06-16 11:00:00,8.3,16.9,44
2025-06-16 12:00:00,12.9,20.0,62
2025-06-16 13:00:00,10.7,16.3,57
2025-06-16 14:00:00,5.6,9.4,55
2025-06-16 15:00:00,5.7,11.0,38
2025-06-16 16:00:00,5.6,10.2,23
2025-06-16 17:00:00,8.5,14.6,51
2025-06-16 18:00:00,11.0,21.0,117
2025-06-16 19:00:00,9.3,15.2,220
2025-06-16 20:00:00,8.7,14.8,216
2025-06-16 21:00:00,7.3,11.8,215
2025-06-16 22:00:00,11.2,20.7,196
2025-06-16 23:00:00,12.7,17.4,181
2025-06-17 00:00:00,9.2,12.8,187
2025-06-17 01:00:00,8.4,13.0,193
2025-06-17 02:00:00,9.8,10.9,207
2025-06-17 03:00:00,5.6,6.4,218
2025-06-17 04:00:00,6.5,8.7,231
2025-06-17 05:00:00,4.6,6.3,223
2025-06-17 06:00:00,6.7,9.3,252
2025-06-17 07:00:00,7.1,8.5,212
2025-06-17 08:00:00,6.7,10.4,241
2025-06-17 09:00:00,5.3,8.8,248
2025-06-17 10:00:00,4.2,5.2,224
2025-06-17 11:00:00,6.4,9.3,258
2025-06-17 12:00:00,7.1,11.7,272
2025-06-17 13:00:00,7.8,11.9,276
2025-06-17 14:00:00,9.4,14.3,269
2025-06-17 15:00:00,12.0,17.9,273
2025-06-17 16:00:00,15.1,20.8,276
2025-06-17 17:00:00,14.9,29.4,257
2025-06-17 18:00:00,18.4,30.9,270
2025-06-17 19:00:00,7.2,15.4,272
2025-06-17 20:00:00,8.0,12.1,345
2025-06-17 21:00:00,2.1,4.7,50
2025-06-17 22:00:00,5.3,7.6,87
2025-06-17 23:00:00,16.7,23.1,255
2025-06-18 00:00:00,11.4,23.1,26
2025-06-18 01:00:00,4.7,7.1,9
2025-06-18 02:00:00,0.3,1.5,226
2025-06-18 03:00:00,5.9,7.1,330
2025-06-18 04:00:00,4.7,7.1,317
2025-06-18 05:00:00,2.0,4.3,333
2025-06-18 06:00:00,1.7,2.5,330
2025-06-18 07:00:00,4.6,6.4,341
2025-06-18 08:00:00,5.7,9.2,348
2025-06-18 09:00:00,8.7,14.5,18
2025-06-18 10:00:00,8.2,15.1,38
2025-06-18 11:00:00,9.7,17.9,39
2025-06-18 12:00:00,10.0,17.1,40
2025-06-18 13:00:00,13.2,19.3,68
2025-06-18 14:00:00,15.2,20.7,63
2025-06-18 15:00:00,13.6,21.2,60
2025-06-18 16:00:00,11.5,19.4,62
2025-06-18 17:00:00,11.7,22.4,56
2025-06-18 18:00:00,12.4,20.1,25
2025-06-18 19:00:00,8.8,15.0,37
2025-06-18 20:00:00,8.7,14.0,30
2025-06-18 21:00:00,5.3,9.5,32
2025-06-18 22:00:00,7.2,12.3,31
2025-06-18 23:00:00,6.2,11.3,39
2025-06-19 00:00:00,3.8,8.5,56
2025-06-19 01:00:00,8.3,16.7,168
2025-06-19 02:00:00,1.0,5.5,89
2025-06-19 03:00:00,5.0,6.4,123
2025-06-19 04:00:00,2.6,4.5,28
2025-06-19 05:00:00,0.9,2.5,15
2025-06-19 06:00:00,1.5,3.5,159
2025-06-19 07:00:00,2.5,7.1,59
2025-06-19 08:00:00,4.0,6.8,112
2025-06-19 09:00:00,0.3,1.8,16
2025-06-19 10:00:00,3.7,6.8,200
2025-06-19 11:00:00,3.5,7.6,159
2025-06-19 12:00:00,4.4,9.7,155
2025-06-19 13:00:00,9.7,17.8,179
2025-06-19 14:00:00,8.7,13.9,180
2025-06-19 15:00:00,5.1,8.0,181
2025-06-19 16:00:00,7.7,11.3,177
2025-06-19 17:00:00,8.9,13.2,165
2025-06-19 18:00:00,9.8,15.2,170
2025-06-19 19:00:00,10.5,15.8,181
2025-06-19 20:00:00,5.7,11.3,198
2025-06-19 21:00:00,13.8,20.1,177
2025-06-19 22:00:00,12.8,17.6,172
2025-06-19 23:00:00,10.5,18.1,174
2025-06-20 00:00:00,14.1,20.0,192
2025-06-20 01:00:00,13.0,18.1,192
2025-06-20 02:00:00,10.8,13.8,195
2025-06-20 03:00:00,6.2,7.3,205
2025-06-20 04:00:00,3.6,4.8,183
2025-06-20 05:00:00,2.8,4.1,213
2025-06-20 06:00:00,5.3,7.2,198
2025-06-20 07:00:00,7.5,9.1,204
2025-06-20 08:00:00,2.6,4.5,206
2025-06-20 09:00:00,5.3,6.8,202
2025-06-20 10:00:00,6.2,7.1,211
2025-06-20 11:00:00,6.8,9.0,201
2025-06-20 12:00:00,5.2,6.4,203
2025-06-20 13:00:00,6.8,9.0,207
2025-06-20 14:00:00,5.5,7.5,173
2025-06-20 15:00:00,6.7,11.6,206
2025-06-20 16:00:00,9.4,14.2,254
2025-06-20 17:00:00,16.8,29.2,320
2025-06-20 18:00:00,18.4,26.7,350
2025-06-20 19:00:00,17.2,28.8,307
2025-06-20 20:00:00,18.3,29.6,339
2025-06-20 21:00:00,21.6,34.2,335
2025-06-20 22:00:00,18.1,27.2,338
2025-06-20 23:00:00,16.5,24.6,334
