rep_date,ws,wg,wdir
2025-08-22 00:00:00,37.2,52.9,309
2025-08-22 01:00:00,31.8,45.2,320
2025-08-22 02:00:00,27.1,40.2,308
2025-08-22 03:00:00,23.2,33.5,307
2025-08-22 04:00:00,22.1,30.8,305
2025-08-22 05:00:00,16.3,24.2,306
2025-08-22 06:00:00,13.7,20.1,305
2025-08-22 07:00:00,9.9,13.3,303
2025-08-22 08:00:00,12.5,16.0,276
2025-08-22 09:00:00,8.1,11.4,283
2025-08-22 10:00:00,11.4,16.7,289
2025-08-22 11:00:00,8.1,13.0,288
2025-08-22 12:00:00,8.6,10.5,271
2025-08-22 13:00:00,7.9,9.6,246
2025-08-22 14:00:00,5.3,7.4,255
2025-08-22 15:00:00,7.7,10.3,275
2025-08-22 16:00:00,6.4,9.8,298
2025-08-22 17:00:00,6.7,12.7,288
2025-08-22 18:00:00,10.3,19.4,326
2025-08-22 19:00:00,5.1,10.2,252
2025-08-22 20:00:00,6.0,13.7,294
2025-08-22 21:00:00,6.2,11.8,218
2025-08-22 22:00:00,6.4,11.9,10
2025-08-22 23:00:00,4.8,8.7,300
2025-08-23 00:00:00,3.8,9.1,197
2025-08-23 01:00:00,4.0,6.5,231
2025-08-23 02:00:00,3.3,4.7,161
2025-08-23 03:00:00,10.9,12.3,117
2025-08-23 04:00:00,9.9,12.0,115
2025-08-23 05:00:00,12.8,13.5,127
2025-08-23 06:00:00,12.7,14.4,139
2025-08-23 07:00:00,11.2,12.7,136
2025-08-23 08:00:00,9.5,11.4,118
2025-08-23 09:00:00,12.3,14.4,132
2025-08-23 10:00:00,8.0,9.0,137
2025-08-23 11:00:00,6.5,8.6,120
2025-08-23 12:00:00,6.1,6.8,148
2025-08-23 13:00:00,2.9,3.7,163
2025-08-23 14:00:00,5.4,6.0,202
2025-08-23 15:00:00,3.1,6.1,216
2025-08-23 16:00:00,2.3,5.4,165
2025-08-23 17:00:00,6.8,13.2,162
2025-08-23 18:00:00,8.7,15.0,157
2025-08-23 19:00:00,8.5,14.0,178
2025-08-23 20:00:00,6.9,14.5,202
2025-08-23 21:00:00,10.0,16.0,139
2025-08-23 22:00:00,4.9,11.0,145
2025-08-23 23:00:00,7.0,11.8,185
2025-08-24 00:00:00,6.4,16.1,202
2025-08-24 01:00:00,12.2,18.3,113
2025-08-24 02:00:00,14.0,18.4,110
2025-08-24 03:00:00,11.9,14.4,115
2025-08-24 04:00:00,14.0,15.1,132
2025-08-24 05:00:00,12.3,14.0,131
2025-08-24 06:00:00,13.2,14.6,135
2025-08-24 07:00:00,13.3,17.5,132
2025-08-24 08:00:00,13.1,14.5,133
2025-08-24 09:00:00,5.9,9.2,145
2025-08-24 10:00:00,12.7,14.7,136
2025-08-24 11:00:00,9.9,11.4,132
2025-08-24 12:00:00,11.4,12.9,144
2025-08-24 13:00:00,3.3,4.2,226
2025-08-24 14:00:00,7.2,9.8,163
2025-08-24 15:00:00,11.1,13.8,181
2025-08-24 16:00:00,2.7,4.9,278
2025-08-24 17:00:00,3.0,6.4,340
2025-08-24 18:00:00,4.9,10.6,106
2025-08-24 19:00:00,3.2,6.6,70
2025-08-24 20:00:00,5.6,11.6,108
2025-08-24 21:00:00,5.6,9.0,10
2025-08-24 22:00:00,3.8,8.6,220
2025-08-24 23:00:00,5.9,10.3,271
2025-08-25 00:00:00,4.8,8.4,268
2025-08-25 01:00:00,1.8,3.7,33
2025-08-25 02:00:00,0.0,0.0,28
2025-08-25 03:00:00,2.7,3.1,188
2025-08-25 04:00:00,8.2,9.3,225
2025-08-25 05:00:00,7.0,7.4,208
2025-08-25 06:00:00,8.5,9.2,188
2025-08-25 07:00:00,8.1,9.7,208
2025-08-25 08:00:00,3.5,5.1,196
2025-08-25 09:00:00,4.4,5.2,184
2025-08-25 10:00:00,7.0,10.1,236
2025-08-25 11:00:00,6.5,7.4,130
2025-08-25 12:00:00,5.8,7.0,236
2025-08-25 13:00:00,3.2,4.9,293
2025-08-25 14:00:00,3.0,4.1,203
2025-08-25 15:00:00,4.3,6.0,216
2025-08-25 16:00:00,3.5,6.2,279
2025-08-25 17:00:00,1.6,4.4,254
2025-08-25 18:00:00,4.2,7.7,259
2025-08-25 19:00:00,7.1,12.2,174
2025-08-25 20:00:00,5.5,12.7,178
2025-08-25 21:00:00,7.2,12.4,203
2025-08-25 22:00:00,7.2,11.5,245
2025-08-25 23:00:00,4.6,10.4,137
